label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node
0,27949.090863,44601.043346,-221.483817,0.000000000,0.000000000,-0.292827602,0.956165255,0,0,0,0,1,-1
1,27953.288009,44598.238263,-221.482510,0.000000000,0.000000000,-0.196080341,0.980587834,0,0,0,0,1,-1
2,27958.699233,44596.014002,-221.490598,0.000000000,0.000000000,0.621548117,0.783375988,0,0,0,0,1,-1
3,27958.814728,44596.513680,-221.494609,0.000000000,0.000000000,-0.985240505,0.171175781,0,0,0,0,1,-1
4,27956.142757,44595.550995,-221.476157,0.000000000,0.000000000,-0.512285035,0.858815488,0,0,0,0,1,-1
5,27958.878810,44590.544322,-221.453016,0.000000000,0.000000000,-0.142289846,0.989825035,0,0,0,0,1,-1
6,27963.476561,44589.216256,-221.463834,0.000000000,0.000000000,-0.064343177,0.997927831,0,0,0,0,1,-1
7,27967.351077,44588.729190,-221.477387,0.000000000,0.000000000,0.102959495,0.994685550,0,0,0,0,1,-1
8,27972.247516,44589.765487,-221.506104,0.000000000,0.000000000,0.062783474,0.998027172,0,0,0,0,1,-1
9,27976.569042,44590.322847,-221.528946,0.000000000,0.000000000,-0.038263825,0.999267672,0,0,0,0,1,-1
10,27980.929394,44590.003761,-221.545814,0.000000000,0.000000000,0.010825185,0.999941406,0,0,0,0,1,-1
11,27984.531864,44590.092825,-221.562226,0.000000000,0.000000000,-0.092874514,0.995677822,0,0,0,0,1,-1
12,27989.272274,44589.220154,-221.576882,0.000000000,0.000000000,0.094333953,0.995540610,0,0,0,0,1,-1
13,27993.232853,44589.987201,-221.599624,0.000000000,0.000000000,-0.017622593,0.999844710,0,0,0,0,1,-1
14,27996.709866,44589.876149,-221.614089,0.000000000,0.000000000,0.321503350,0.946908441,0,0,0,0,1,-1
15,27999.099824,44591.714525,-221.637463,0.000000000,0.000000000,0.585407341,0.810739320,0,0,0,0,1,-1
16,28000.259467,44595.235575,-221.667247,0.000000000,0.000000000,-0.755787621,-0.654816823,0,0,0,0,1,-1
17,27999.467757,44600.592359,-221.701355,0.000000000,0.000000000,0.697402601,0.716679574,0,0,0,0,1,-1
18,27999.555273,44604.209879,-221.727120,0.000000000,0.000000000,-0.735677878,-0.677331573,0,0,0,0,1,-1
19,27999.190499,44608.436239,-221.755175,0.000000000,0.000000000,-0.772648115,-0.634834537,0,0,0,0,1,-1
20,27998.037386,44614.146946,-221.790194,0.000000000,0.000000000,0.696800894,0.717264605,0,0,0,0,1,-1
21,27998.133590,44617.864356,-221.816705,0.000000000,0.000000000,-0.710916202,-0.703276726,0,0,0,0,1,-1
22,27998.075295,44622.014015,-221.845576,0.000000000,0.000000000,-0.807773754,-0.589492631,0,0,0,0,1,-1
23,27996.719957,44626.181761,-221.868888,0.000000000,0.000000000,0.659269848,0.751906422,0,0,0,0,1,-1
24,27997.264903,44630.399904,-221.900890,0.000000000,0.000000000,0.637130098,0.770756277,0,0,0,0,1,-1
25,27998.194906,44635.318303,-221.939499,0.000000000,0.000000000,0.637278343,0.770633709,0,0,0,0,1,-1
26,27998.894596,44639.026527,-221.968605,0.000000000,0.000000000,0.553035519,0.833157677,0,0,0,0,1,-1
27,28000.637650,44643.181886,-222.005427,0.000000000,0.000000000,0.170748633,0.985314622,0,0,0,0,1,-1
28,28002.319995,44643.786386,-222.017050,0.000000000,0.000000000,0.031933319,0.999490002,0,0,0,0,1,-1
29,28007.371748,44644.124156,-222.041578,0.000000000,0.000000000,-0.065706520,0.997838992,0,0,0,0,1,-1
30,28009.984802,44643.788457,-222.050683,0.000000000,0.000000000,-0.291967197,0.956428333,0,0,0,0,1,-1
31,28011.826115,44642.562649,-222.050152,0.000000000,0.000000000,-0.711295963,0.702892633,0,0,0,0,1,-1
32,28011.812926,44641.053573,-222.039497,0.000000000,0.000000000,-0.308363972,0.951268448,0,0,0,0,1,-1
33,28013.925364,44639.540132,-222.038137,0.000000000,0.000000000,0.258469204,0.966019498,0,0,0,0,1,-1
34,28016.029075,44640.756239,-222.055906,0.000000000,0.000000000,-0.058239791,0.998302623,0,0,0,0,1,-1
35,28021.552266,44640.130172,-222.075745,0.000000000,0.000000000,0.175005196,0.984567510,0,0,0,0,1,-1
36,28027.768650,44642.424510,-222.119140,0.000000000,0.000000000,0.162015656,0.986788188,0,0,0,0,1,-1
37,28031.430454,44643.667749,-222.143945,0.000000000,0.000000000,-0.942157787,-0.335169665,0,0,0,0,1,-1
38,28002.967624,44666.601478,-222.180152,0.000000000,0.000000000,-0.798915582,-0.601443175,0,0,0,0,1,-1
39,27999.971651,44676.844550,-222.238992,0.000000000,0.000000000,-0.879560914,-0.475786295,0,0,0,0,1,-1
40,27996.903522,44681.483997,-222.258146,0.000000000,0.000000000,-0.942478781,-0.334265984,0,0,0,0,1,-1
41,27995.801868,44682.368178,-222.259530,0.000000000,0.000000000,-0.956085164,-0.293088996,0,0,0,0,1,-1
42,27994.646529,44683.141231,-222.259898,0.000000000,0.000000000,-0.988770422,-0.149442474,0,0,0,0,1,-1
43,27991.112429,44684.217441,-222.251970,0.000000000,0.000000000,-0.998106013,-0.061517377,0,0,0,0,1,-1
44,27990.932224,44684.239063,-222.251332,0.000000000,0.000000000,-0.974137981,-0.225953964,0,0,0,0,1,-1
45,27990.454125,44684.470563,-222.250863,0.000000000,0.000000000,-0.993355910,0.115082733,0,0,0,0,1,-1
